"","geneNames","geneCounts","NC"
"272","group_1402",90,1
"273","group_1403",90,1
"274","cpg2",90,1
"275","ung",90,1
"276","ubiG",90,1
"277","group_1408",90,1
"278","dsbD_2",90,1
"279","group_1411",90,1
"280","purL",90,1
"281","purM",90,1
"282","group_1414",90,1
"283","hemX",90,1
"284","hemD",90,1
"285","dsbB_1",90,1
"286","egtC_1",90,1
"287","group_1422",90,1
"288","group_1423",90,1
"289","pheT",90,1
"290","group_1425",90,1
"291","pacS_1",90,1
"292","group_1427",90,1
"293","hicd",90,1
"294","cphA_1",90,1
"295","yhcR",90,1
"296","rsmD",90,1
"297","ftsE",90,1
"298","group_1434",90,1
"299","panB",90,1
"300","group_1436",90,1
"301","zapE",90,1
"302","group_1438",90,1
"303","ychF",90,1
"304","group_1440",90,1
"305","group_1442",90,1
"306","murJ",90,1
"307","group_1445",90,1
"308","holC",90,1
"309","lptF",90,1
"310","group_1448",90,1
"311","group_1449",90,1
"312","sdeA_6",90,1
"313","group_1450",90,1
"314","smc_2",90,1
"315","zipA",90,1
"316","murB",90,1
"317","ftsQ",90,1
"318","group_1455",90,1
"319","drrA_1",90,1
"320","oatA_2",90,1
"321","group_1458",90,1
"322","fmt",90,1
"323","group_1460",90,1
"324","dnaX_2",90,1
"325","group_1464",90,1
"326","pnp",90,1
"327","rpsO",90,1
"328","truB",90,1
"329","nuoM",90,1
"330","nuoJ",90,1
"331","nuoI",90,1
"332","nuoH",90,1
"333","nuoF",90,1
"334","nqo5",90,1
"335","folP",90,1
"336","oatA_3",90,1
"337","group_1477",90,1
"338","group_1478",90,1
"339","dtpB",90,1
"340","group_1480",90,1
"341","group_1482",90,1
"342","hopD2",90,1
"343","group_1486",90,1
"344","bcp",90,1
"345","group_1488",90,1
"346","group_1489",90,1
"347","amiC_2",90,1
"348","group_1491",90,1
"349","group_1492",90,1
"350","group_1493",90,1
"351","priA",90,1
"352","fadM",90,1
"353","ptsP",90,1
"354","ansA",90,1
"355","group_1499",90,1
"356","rsxB",90,1
"357","ctaE",90,1
"358","ndoA",90,1
"359","kanE",90,1
"360","ugpQ",90,1
"361","group_1506",90,1
"362","group_1507",90,1
"363","cbpA",90,1
"364","pta_1",90,1
"365","group_1510",90,1
"366","group_1511",90,1
"367","mdh_1",90,1
"368","ipuF",90,1
"369","group_1514",90,1
"370","dedA",90,1
"371","group_1516",90,1
"372","norB",90,1
"373","group_1521",90,1
"374","fabH_2",90,1
"375","fabG_2",90,1
"376","group_1525",90,1
"377","chiA",90,1
"378","group_1527",90,1
"379","group_1529",90,1
"380","group_1530",90,1
"381","group_1534",90,1
"382","group_1535",90,1
"383","tam_2",90,1
"384","bepF_1",90,1
"385","group_1541",90,1
"386","group_1543",90,1
"387","group_1544",90,1
"388","group_1545",90,1
"389","pla",90,1
"390","yveA_1",90,1
"391","katG1",90,1
"392","arsM",90,1
"393","group_1557",90,1
"394","group_1558",90,1
"395","group_1559",90,1
"396","group_1562",90,1
"397","group_1563",90,1
"398","yqjG_1",90,1
"399","group_1570",90,1
"400","group_1571",90,1
"401","group_1572",90,1
"402","ddpX",90,1
"403","group_1574",90,1
"404","group_1575",90,1
"405","group_1576",90,1
"406","group_1578",90,1
"407","group_1579",90,1
"408","group_1580",90,1
"409","hoxH",90,1
"410","hoxY",90,1
"411","asrB",90,1
"412","asrA",90,1
"413","hypE",90,1
"414","hypC",90,1
"415","hybF",90,1
"416","nixA",90,1
"417","group_1589",90,1
"418","rdgB",90,1
"419","coaBC",90,1
"420","hss",90,1
"421","group_1596",90,1
"422","group_1597",90,1
"423","prmA",90,1
"424","group_1599",90,1
"425","yybR_1",90,1
"426","group_1601",90,1
"427","group_1602",90,1
"428","group_1604",90,1
"429","group_1605",90,1
"430","csbC",90,1
"431","eda",90,1
"432","glk",90,1
"433","edd",90,1
"434","ctaA",90,1
"435","group_1611",90,1
"436","dsbB_2",90,1
"437","ffh",90,1
"438","trmD",90,1
"439","group_1615",90,1
"440","osmY_2",90,1
"441","group_1618",90,1
"442","gshA",90,1
"443","rnfH",90,1
"444","group_1623",90,1
"445","group_1624",90,1
"446","group_1625",90,1
"447","fabZ_1",90,1
"448","aam",90,1
"449","hemN",90,1
"450","ahpD",90,1
"451","deaD",90,1
"452","group_1654",90,1
"453","group_1655",90,1
"454","djlA",90,1
"455","group_1657",90,1
"456","dksA",90,1
"457","prmC",90,1
"458","group_1660",90,1
"459","rseP_1",90,1
"460","bioC_2",90,1
"461","group_1663",90,1
"462","group_1664",90,1
"463","group_1666",90,1
"464","motA",90,1
"465","group_1668",90,1
"466","group_1669",90,1
"467","smrA_1",90,1
"468","asd2",90,1
