"","geneNames","geneCounts","2006-2010"
"272","group_1402",20,1
"273","group_1403",20,1
"274","cpg2",20,1
"275","ung",20,1
"276","ubiG",20,1
"277","group_1408",20,1
"278","dsbD_2",20,1
"279","group_1411",20,1
"280","purL",20,1
"281","purM",20,1
"282","group_1414",20,1
"283","hemX",20,1
"284","hemD",20,1
"285","dsbB_1",20,1
"286","egtC_1",20,1
"287","group_1422",20,1
"288","group_1423",20,1
"289","pheT",20,1
"290","group_1425",20,1
"291","pacS_1",20,1
"292","group_1427",20,1
"293","hicd",20,1
"294","cphA_1",20,1
"295","yhcR",20,1
"296","rsmD",20,1
"297","ftsE",20,1
"298","group_1434",20,1
"299","panB",20,1
"300","group_1436",20,1
"301","zapE",20,1
"302","group_1438",20,1
"303","ychF",20,1
"304","group_1440",20,1
"305","group_1442",20,1
"306","murJ",20,1
"307","group_1445",20,1
"308","holC",20,1
"309","lptF",20,1
"310","group_1448",20,1
"311","group_1449",20,1
"312","sdeA_6",20,1
"313","group_1450",20,1
"314","smc_2",20,1
"315","zipA",20,1
"316","murB",20,1
"317","ftsQ",20,1
"318","group_1455",20,1
"319","drrA_1",20,1
"320","oatA_2",20,1
"321","group_1458",20,1
"322","fmt",20,1
"323","group_1460",20,1
"324","dnaX_2",20,1
"325","group_1464",20,1
"326","pnp",20,1
"327","rpsO",20,1
"328","truB",20,1
"329","nuoM",20,1
"330","nuoJ",20,1
"331","nuoI",20,1
"332","nuoH",20,1
"333","nuoF",20,1
"334","nqo5",20,1
"335","folP",20,1
"336","oatA_3",20,1
"337","group_1477",20,1
"338","group_1478",20,1
"339","dtpB",20,1
"340","group_1480",20,1
"341","group_1482",20,1
"342","hopD2",20,1
"343","group_1486",20,1
"344","bcp",20,1
"345","group_1488",20,1
"346","group_1489",20,1
"347","amiC_2",20,1
"348","group_1491",20,1
"349","group_1492",20,1
"350","group_1493",20,1
"351","priA",20,1
"352","fadM",20,1
"353","ptsP",20,1
"354","ansA",20,1
"355","group_1499",20,1
"356","rsxB",20,1
"357","ctaE",20,1
"358","ndoA",20,1
"359","kanE",20,1
"360","ugpQ",20,1
"361","group_1506",20,1
"362","group_1507",20,1
"363","cbpA",20,1
"364","pta_1",20,1
"365","group_1510",20,1
"366","group_1511",20,1
"367","mdh_1",20,1
"368","ipuF",20,1
"369","group_1514",20,1
"370","dedA",20,1
"371","group_1516",20,1
"372","norB",20,1
"373","group_1521",20,1
"374","fabH_2",20,1
"375","fabG_2",20,1
"376","group_1525",20,1
"377","chiA",20,1
"378","group_1527",20,1
"379","group_1529",20,1
"380","group_1530",20,1
"381","group_1534",20,1
"382","group_1535",20,1
"383","tam_2",20,1
"384","bepF_1",20,1
"385","group_1541",20,1
"386","group_1543",20,1
"387","group_1544",20,1
"388","group_1545",20,1
"389","pla",20,1
"390","yveA_1",20,1
"391","katG1",20,1
"392","arsM",20,1
"393","group_1557",20,1
"394","group_1558",20,1
"395","group_1559",20,1
"396","group_1562",20,1
"397","group_1563",20,1
"398","yqjG_1",20,1
"399","group_1570",20,1
"400","group_1571",20,1
"401","group_1572",20,1
"402","ddpX",20,1
"403","group_1574",20,1
"404","group_1575",20,1
"405","group_1576",20,1
"406","group_1578",20,1
"407","group_1579",20,1
"408","group_1580",20,1
"409","hoxH",20,1
"410","hoxY",20,1
"411","asrB",20,1
"412","asrA",20,1
"413","hypE",20,1
"414","hypC",20,1
"415","hybF",20,1
"416","nixA",20,1
"417","group_1589",20,1
"418","rdgB",20,1
"419","coaBC",20,1
"420","hss",20,1
"421","group_1596",20,1
"422","group_1597",20,1
"423","prmA",20,1
"424","group_1599",20,1
"425","yybR_1",20,1
"426","group_1601",20,1
"427","group_1602",20,1
"428","group_1604",20,1
"429","group_1605",20,1
"430","csbC",20,1
"431","eda",20,1
"432","glk",20,1
"433","edd",20,1
"434","ctaA",20,1
"435","group_1611",20,1
"436","dsbB_2",20,1
"437","ffh",20,1
"438","trmD",20,1
"439","group_1615",20,1
"440","osmY_2",20,1
"441","group_1618",20,1
"442","gshA",20,1
"443","rnfH",20,1
"444","group_1623",20,1
"445","group_1624",20,1
"446","group_1625",20,1
"447","fabZ_1",20,1
"448","aam",20,1
"449","hemN",20,1
"450","ahpD",20,1
"451","deaD",20,1
"452","group_1654",20,1
"453","group_1655",20,1
"454","djlA",20,1
"455","group_1657",20,1
"456","dksA",20,1
"457","prmC",20,1
